"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,26,-0.830453633844533,0.556463347783336
0.3,0.1,26.01,-0.830306317303571,0.556682890447687
0.3,0.1,26.02,-0.830158916338681,0.556902433909608
0.3,0.1,26.03,-0.830011430909879,0.557121978149563
0.3,0.1,26.04,-0.829863860977214,0.55734152314804
0.3,0.1,26.05,-0.829716206500749,0.557561068885562
0.3,0.1,26.06,-0.829568467440577,0.557780615342675
0.3,0.1,26.07,-0.829420643756809,0.558000162499956
0.3,0.1,26.08,-0.829272735409581,0.558219710338003
0.3,0.1,26.09,-0.82912474235905,0.558439258837453
0.3,0.1,26.1,-0.828976664565396,0.558658807978962
0.3,0.1,26.11,-0.828828501988818,0.558878357743217
0.3,0.1,26.12,-0.828680254589541,0.559097908110932
0.3,0.1,26.13,-0.828531922327808,0.559317459062845
0.3,0.1,26.14,-0.828383505163885,0.559537010579729
0.3,0.1,26.15,-0.828235003058057,0.559756562642375
0.3,0.1,26.16,-0.828086415970631,0.559976115231608
0.3,0.1,26.17,-0.827937743861935,0.560195668328278
0.3,0.1,26.18,-0.827788986692316,0.56041522191326
0.3,0.1,26.19,-0.827640144422141,0.560634775967453
0.3,0.1,26.2,-0.827491217011796,0.560854330471794
0.3,0.1,26.21,-0.827342204421692,0.561073885407232
0.3,0.1,26.22,-0.827193106612251,0.561293440754752
0.3,0.1,26.23,-0.82704392354392,0.561512996495359
0.3,0.1,26.24,-0.826894655177164,0.56173255261009
0.3,0.1,26.25,-0.826745301472463,0.561952109080005
0.3,0.1,26.26,-0.82659586239032,0.562171665886187
0.3,0.1,26.27,-0.826446337891256,0.56239122300975
0.3,0.1,26.28,-0.826296727935806,0.562610780431826
0.3,0.1,26.29,-0.826147032484529,0.562830338133583
0.3,0.1,26.3,-0.825997251497992,0.563049896096204
0.3,0.1,26.31,-0.825847384936791,0.563269454300903
0.3,0.1,26.32,-0.825697432761529,0.563489012728916
0.3,0.1,26.33,-0.825547394932832,0.563708571361507
0.3,0.1,26.34,-0.825397271411341,0.563928130179961
0.3,0.1,26.35,-0.825247062157712,0.564147689165586
0.3,0.1,26.36,-0.82509676713262,0.564367248299721
0.3,0.1,26.37,-0.824946386296752,0.564586807563726
0.3,0.1,26.38,-0.824795919610816,0.564806366938981
0.3,0.1,26.39,-0.82464536703553,0.565025926406896
0.3,0.1,26.4,-0.82449472853163,0.5652454859489
0.3,0.1,26.41,-0.824344004059868,0.565465045546448
0.3,0.1,26.42,-0.824193193581008,0.565684605181019
0.3,0.1,26.43,-0.824042297055833,0.565904164834112
0.3,0.1,26.44,-0.823891314445134,0.566123724487253
0.3,0.1,26.45,-0.823740245709722,0.566343284121987
0.3,0.1,26.46,-0.823589090810418,0.566562843719885
0.3,0.1,26.47,-0.82343784970806,0.566782403262538
0.3,0.1,26.48,-0.823286522363494,0.567001962731561
0.3,0.1,26.49,-0.823135108737588,0.567221522108589
0.3,0.1,26.5,-0.822983608791214,0.567441081375284
0.3,0.1,26.51,-0.822832022485261,0.567660640513322
0.3,0.1,26.52,-0.82268034978063,0.56788019950441
0.3,0.1,26.53,-0.822528590638235,0.568099758330269
0.3,0.1,26.54,-0.822376745018999,0.568319316972643
0.3,0.1,26.55,-0.82222481288386,0.5685388754133
0.3,0.1,26.56,-0.822072794193768,0.568758433634025
0.3,0.1,26.57,-0.821920688909682,0.568977991616627
0.3,0.1,26.58,-0.821768496992572,0.569197549342932
