"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,26,-0.841426754413147,0.53974793112451
0.3,0.1,26.01,-0.841288619221642,0.539962968954224
0.3,0.1,26.02,-0.841150404173668,0.540178010531841
0.3,0.1,26.03,-0.841012109231217,0.54039305584244
0.3,0.1,26.04,-0.840873734356287,0.540608104871115
0.3,0.1,26.05,-0.840735279510892,0.540823157602975
0.3,0.1,26.06,-0.840596744657053,0.541038214023146
0.3,0.1,26.07,-0.840458129756804,0.541253274116762
0.3,0.1,26.08,-0.84031943477219,0.54146833786898
0.3,0.1,26.09,-0.840180659665264,0.541683405264967
0.3,0.1,26.1,-0.840041804398094,0.541898476289908
0.3,0.1,26.11,-0.839902868932756,0.542113550929001
0.3,0.1,26.12,-0.839763853231334,0.542328629167457
0.3,0.1,26.13,-0.839624757255926,0.542543710990504
0.3,0.1,26.14,-0.839485580968636,0.542758796383383
0.3,0.1,26.15,-0.839346324331582,0.542973885331349
0.3,0.1,26.16,-0.839206987306888,0.54318897781967
0.3,0.1,26.17,-0.839067569856689,0.543404073833634
0.3,0.1,26.18,-0.838928071943128,0.543619173358538
0.3,0.1,26.19,-0.838788493528358,0.543834276379693
0.3,0.1,26.2,-0.838648834574542,0.544049382882425
0.3,0.1,26.21,-0.83850909504385,0.544264492852074
0.3,0.1,26.22,-0.838369274898461,0.544479606273995
0.3,0.1,26.23,-0.838229374100562,0.544694723133553
0.3,0.1,26.24,-0.838089392612349,0.54490984341613
0.3,0.1,26.25,-0.837949330396025,0.545124967107121
0.3,0.1,26.26,-0.837809187413804,0.54534009419193
0.3,0.1,26.27,-0.837668963627905,0.545555224655982
0.3,0.1,26.28,-0.837528659000553,0.545770358484709
0.3,0.1,26.29,-0.837388273493985,0.545985495663557
0.3,0.1,26.3,-0.837247807070441,0.546200636177989
0.3,0.1,26.31,-0.837107259692172,0.546415780013475
0.3,0.1,26.32,-0.836966631321433,0.5466309271555
0.3,0.1,26.33,-0.836825921920487,0.546846077589566
0.3,0.1,26.34,-0.836685131451602,0.54706123130118
0.3,0.1,26.35,-0.836544259877056,0.547276388275869
0.3,0.1,26.36,-0.836403307159131,0.547491548499165
0.3,0.1,26.37,-0.836262273260112,0.547706711956617
0.3,0.1,26.38,-0.836121158142296,0.547921878633786
0.3,0.1,26.39,-0.835979961767984,0.548137048516243
0.3,0.1,26.4,-0.83583868409948,0.548352221589573
0.3,0.1,26.41,-0.835697325099094,0.548567397839371
0.3,0.1,26.42,-0.835555884729143,0.548782577251243
