"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,26,-0.871608348343512,0.489581401484717
0.3,0.1,26.01,-0.871495655178961,0.489781733913209
0.3,0.1,26.02,-0.871382895202771,0.489982077407067
0.3,0.1,26.03,-0.871270068382089,0.49018243196159
0.3,0.1,26.04,-0.871157174684051,0.490382797572069
0.3,0.1,26.05,-0.871044214075785,0.490583174233797
0.3,0.1,26.06,-0.870931186524411,0.490783561942062
0.3,0.1,26.07,-0.87081809199704,0.490983960692152
0.3,0.1,26.08,-0.870704930460775,0.491184370479351
0.3,0.1,26.09,-0.870591701882708,0.491384791298942
0.3,0.1,26.1,-0.870478406229924,0.491585223146203
0.3,0.1,26.11,-0.870365043469498,0.491785666016412
0.3,0.1,26.12,-0.870251613568495,0.491986119904845
0.3,0.1,26.13,-0.870138116493974,0.492186584806774
0.3,0.1,26.14,-0.870024552212983,0.492387060717466
0.3,0.1,26.15,-0.869910920692558,0.492587547632191
0.3,0.1,26.16,-0.869797221899733,0.492788045546213
0.3,0.1,26.17,-0.869683455801525,0.492988554454793
0.3,0.1,26.18,-0.869569622364943,0.493189074353192
0.3,0.1,26.19,-0.869455721556991,0.493389605236665
0.3,0.1,26.2,-0.869341753344658,0.493590147100469
0.3,0.1,26.21,-0.86922771769493,0.49379069993985
0.3,0.1,26.22,-0.869113614574774,0.49399126375006
0.3,0.1,26.23,-0.868999443951156,0.494191838526344
0.3,0.1,26.24,-0.868885205791028,0.494392424263943
0.3,0.1,26.25,-0.868770900061333,0.494593020958098
0.3,0.1,26.26,-0.868656526729003,0.494793628604046
0.3,0.1,26.27,-0.86854208576096,0.49499424719702
0.3,0.1,26.28,-0.868427577124119,0.495194876732252
0.3,0.1,26.29,-0.868313000785381,0.495395517204967
0.3,0.1,26.3,-0.868198356711639,0.495596168610393
0.3,0.1,26.31,-0.868083644869774,0.495796830943748
0.3,0.1,26.32,-0.867968865226661,0.495997504200253
0.3,0.1,26.33,-0.867854017749158,0.496198188375123
0.3,0.1,26.34,-0.867739102404119,0.496398883463568
0.3,0.1,26.35,-0.867624119158381,0.496599589460798
0.3,0.1,26.36,-0.867509067978777,0.496800306362017
0.3,0.1,26.37,-0.867393948832124,0.497001034162428
0.3,0.1,26.38,-0.867278761685232,0.497201772857229
