"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.3,0.1,26.38,-0.910794380865046,0.412244423418004
0.3,0.1,26.39,-0.91071623648188,0.412416787907942
0.3,0.1,26.4,-0.910638044558896,0.412589170427492
0.3,0.1,26.41,-0.910559805071093,0.412761570981672
0.3,0.1,26.42,-0.910481517993455,0.412933989575499
0.3,0.1,26.43,-0.91040318330095,0.413106426213986
0.3,0.1,26.44,-0.910324800968526,0.41327888090214
0.3,0.1,26.45,-0.910246370971116,0.413451353644971
0.3,0.1,26.46,-0.910167893283636,0.413623844447477
0.3,0.1,26.47,-0.910089367880988,0.41379635331466
0.3,0.1,26.48,-0.910010794738053,0.413968880251511
0.3,0.1,26.49,-0.909932173829697,0.414141425263025
0.3,0.1,26.5,-0.909853505130768,0.414313988354187
0.3,0.1,26.51,-0.909774788616099,0.414486569529983
0.3,0.1,26.52,-0.909696024260505,0.414659168795392
0.3,0.1,26.53,-0.909617212038784,0.414831786155394
0.3,0.1,26.54,-0.909538351925717,0.415004421614959
0.3,0.1,26.55,-0.909459443896069,0.415177075179058
0.3,0.1,26.56,-0.909380487924587,0.415349746852656
0.3,0.1,26.57,-0.909301483986001,0.415522436640717
0.3,0.1,26.58,-0.909222432055024,0.4156951445482
0.3,0.1,26.59,-0.909143332106352,0.415867870580057
0.3,0.1,26.6,-0.909064184114664,0.416040614741242
0.3,0.1,26.61,-0.908984988054623,0.416213377036701
0.3,0.1,26.62,-0.908905743900872,0.416386157471379
0.3,0.1,26.63,-0.90882645162804,0.416558956050215
0.3,0.1,26.64,-0.908747111210735,0.416731772778146
0.3,0.1,26.65,-0.908667722623553,0.416904607660103
0.3,0.1,26.66,-0.908588285841068,0.417077460701016
0.3,0.1,26.67,-0.90850880083784,0.417250331905809
0.3,0.1,26.68,-0.908429267588409,0.417423221279403
0.3,0.1,26.69,-0.908349686067301,0.417596128826717
0.3,0.1,26.7,-0.908270056249021,0.417769054552661
0.3,0.1,26.71,-0.908190378108058,0.417941998462146
0.3,0.1,26.72,-0.908110651618885,0.418114960560078
0.3,0.1,26.73,-0.908030876755958,0.41828794085136
0.3,0.1,26.74,-0.907951053493712,0.418460939340885
0.3,0.1,26.75,-0.907871181806567,0.418633956033551
0.3,0.1,26.76,-0.907791261668927,0.418806990934246
0.3,0.1,26.77,-0.907711293055175,0.418980044047857
0.3,0.1,26.78,-0.907631275939679,0.419153115379266
0.3,0.1,26.79,-0.90755121029679,0.419326204933349
0.3,0.1,26.8,-0.907471096100838,0.419499312714982
0.3,0.1,26.81,-0.907390933326139,0.419672438729034
0.3,0.1,26.82,-0.90731072194699,0.419845582980369
0.3,0.1,26.83,-0.907230461937671,0.420018745473851
0.3,0.1,26.84,-0.907150153272442,0.420191926214339
0.3,0.1,26.85,-0.907069795925548,0.420365125206684
0.3,0.1,26.86,-0.906989389871215,0.420538342455736
0.3,0.1,26.87,-0.906908935083652,0.420711577966343
0.3,0.1,26.88,-0.906828431537051,0.420884831743343
0.3,0.1,26.89,-0.906747879205585,0.421058103791574
0.3,0.1,26.9,-0.906667278063407,0.421231394115869
0.3,0.1,26.91,-0.906586628084656,0.421404702721057
0.3,0.1,26.92,-0.906505929243452,0.421578029611964
0.3,0.1,26.93,-0.906425181513897,0.421751374793409
0.3,0.1,26.94,-0.906344384870074,0.421924738270208
0.3,0.1,26.95,-0.90626353928605,0.422098120047174
0.3,0.1,26.96,-0.906182644735872,0.422271520129113
0.3,0.1,26.97,-0.906101701193571,0.42244493852083
0.3,0.1,26.98,-0.906020708633158,0.422618375227124
0.3,0.1,26.99,-0.905939667028629,0.422791830252789
0.3,0.1,27,-0.905858576353959,0.422965303602614
0.3,0.1,27.01,-0.905777436583105,0.423138795281387
0.3,0.1,27.02,-0.905696247690008,0.423312305293892
0.3,0.1,27.03,-0.90561500964859,0.423485833644903
0.3,0.1,27.04,-0.905533722432753,0.423659380339194
0.3,0.1,27.05,-0.905452386016384,0.423832945381532
0.3,0.1,27.06,-0.90537100037335,0.424006528776684
0.3,0.1,27.07,-0.905289565477501,0.424180130529408
0.3,0.1,27.08,-0.905208081302667,0.42435375064446
0.3,0.1,27.09,-0.90512654782266,0.424527389126588
0.3,0.1,27.1,-0.905044965011276,0.424701045980542
0.3,0.1,27.11,-0.904963332842288,0.424874721211062
0.3,0.1,27.12,-0.904881651289455,0.425048414822886
0.3,0.1,27.13,-0.904799920326518,0.425222126820744
0.3,0.1,27.14,-0.904718139927197,0.425395857209366
0.3,0.1,27.15,-0.904636310065194,0.425569605993477
0.3,0.1,27.16,-0.904554430714191,0.425743373177792
0.3,0.1,27.17,-0.904472501847858,0.425917158767027
0.3,0.1,27.18,-0.904390523439838,0.426090962765892
0.3,0.1,27.19,-0.904308495463763,0.426264785179093
0.3,0.1,27.2,-0.90422641789324,0.426438626011327
0.3,0.1,27.21,-0.904144290701862,0.426612485267292
0.3,0.1,27.22,-0.904062113863202,0.426786362951676
0.3,0.1,27.23,-0.903979887350813,0.426960259069167
0.3,0.1,27.24,-0.903897611138232,0.427134173624447
0.3,0.1,27.25,-0.903815285198975,0.427308106622189
0.3,0.1,27.26,-0.903732909506541,0.427482058067068
0.3,0.1,27.27,-0.903650484034408,0.42765602796375
0.3,0.1,27.28,-0.903568008756039,0.427830016316895
0.3,0.1,27.29,-0.903485483644873,0.428004023131163
0.3,0.1,27.3,-0.903402908674336,0.428178048411204
0.3,0.1,27.31,-0.903320283817831,0.428352092161664
0.3,0.1,27.32,-0.903237609048744,0.428526154387189
0.3,0.1,27.33,-0.903154884340441,0.428700235092413
0.3,0.1,27.34,-0.903072109666269,0.42887433428197
0.3,0.1,27.35,-0.902989284999559,0.429048451960487
0.3,0.1,27.36,-0.902906410313619,0.429222588132587
0.3,0.1,27.37,-0.902823485581739,0.429396742802887
0.3,0.1,27.38,-0.902740510777194,0.429570915975998
0.3,0.1,27.39,-0.902657485873234,0.429745107656529
0.3,0.1,27.4,-0.902574410843093,0.429919317849081
0.3,0.1,27.41,-0.902491285659987,0.430093546558253
0.3,0.1,27.42,-0.902408110297109,0.430267793788633
0.3,0.1,27.43,-0.902324884727639,0.43044205954481
0.3,0.1,27.44,-0.90224160892473,0.430616343831366
0.3,0.1,27.45,-0.902158282861522,0.430790646652878
0.3,0.1,27.46,-0.902074906511135,0.430964968013914
0.3,0.1,27.47,-0.901991479846667,0.431139307919043
0.3,0.1,27.48,-0.901908002841197,0.431313666372824
0.3,0.1,27.49,-0.901824475467787,0.431488043379812
0.3,0.1,27.5,-0.901740897699479,0.431662438944558
0.3,0.1,27.51,-0.901657269509296,0.431836853071605
0.3,0.1,27.52,-0.901573590870239,0.432011285765493
0.3,0.1,27.53,-0.901489861755292,0.432185737030758
0.3,0.1,27.54,-0.901406082137418,0.432360206871926
0.3,0.1,27.55,-0.901322251989564,0.43253469529352
0.3,0.1,27.56,-0.901238371284651,0.432709202300058
0.3,0.1,27.57,-0.901154439995587,0.432883727896053
0.3,0.1,27.58,-0.901070458095259,0.433058272086011
0.3,0.1,27.59,-0.900986425556531,0.433232834874433
0.3,0.1,27.6,-0.900902342352251,0.433407416265814
0.3,0.1,27.61,-0.900818208455243,0.433582016264645
0.3,0.1,27.62,-0.900734023838318,0.43375663487541
0.3,0.1,27.63,-0.900649788474264,0.433931272102588
0.3,0.1,27.64,-0.900565502335846,0.434105927950652
0.3,0.1,27.65,-0.900481165395812,0.434280602424068
0.3,0.1,27.66,-0.900396777626894,0.4344552955273
0.3,0.1,27.67,-0.900312339001797,0.434630007264803
0.3,0.1,27.68,-0.900227849493213,0.434804737641026
0.3,0.1,27.69,-0.900143309073808,0.434979486660417
0.3,0.1,27.7,-0.900058717716232,0.435154254327412
0.3,0.1,27.71,-0.899974075393115,0.435329040646446
0.3,0.1,27.72,-0.899889382077065,0.435503845621943
0.3,0.1,27.73,-0.899804637740671,0.435678669258329
0.3,0.1,27.74,-0.899719842356504,0.435853511560012
0.3,0.1,27.75,-0.899634995897111,0.43602837253141
0.3,0.1,27.76,-0.899550098335021,0.436203252176921
0.3,0.1,27.77,-0.899465149642744,0.436378150500945
0.3,0.1,27.78,-0.89938014979277,0.436553067507873
0.3,0.1,27.79,-0.899295098757565,0.436728003202089
0.3,0.1,27.8,-0.899209996509578,0.436902957587975
0.3,0.1,27.81,-0.899124843021241,0.437077930669904
0.3,0.1,27.82,-0.899039638264957,0.43725292245224
0.3,0.1,27.83,-0.898954382213118,0.437427932939349
0.3,0.1,27.84,-0.898869074838088,0.437602962135583
0.3,0.1,27.85,-0.898783716112218,0.437778010045293
0.3,0.1,27.86,-0.89869830600783,0.437953076672821
0.3,0.1,27.87,-0.898612844497236,0.438128162022502
0.3,0.1,27.88,-0.898527331552718,0.43830326609867
0.3,0.1,27.89,-0.898441767146543,0.438478388905645
0.3,0.1,27.9,-0.898356151250956,0.438653530447745
0.3,0.1,27.91,-0.898270483838183,0.438828690729285
0.3,0.1,27.92,-0.898184764880426,0.439003869754567
0.3,0.1,27.93,-0.89809899434987,0.43917906752789
